,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20"
"17853",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17855",0,0,0,0,0,0,0,0,0
"17856",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17857",6,6,6,6,6,6,6,6,6
"17859",26,26,26,29,30,30,30,31,31
"17860",0,0,0,0,0,0,0,0,0
"17864",0,0,0,0,0,0,0,0,0
"17866",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17867",0,0,0,0,0,0,0,0,0
"17868",0,0,0,0,0,0,0,0,0
"17870",16,16,17,18,18,18,18,18,18
"17872",10,10,10,10,10,11,11,11,11
"17876",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17877",0,0,0,0,0,0,0,0,0
"17878",0,0,0,0,0,0,0,0,0
"17881",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17886",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17888",0,0,0,0,0,0,0,0,0
"17889",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17901",34,34,35,40,40,42,43,56,58
"17921",NA,NA,5,5,5,5,5,6,7
"17922",14,14,15,15,15,16,17,18,18
"17923",0,0,0,0,0,0,0,0,0
"17925",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17929",NA,NA,NA,NA,NA,NA,NA,5,5
"17930",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17931",9,9,9,9,9,9,10,10,10
"17934",0,0,0,0,0,0,0,0,0
"17935",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17938",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17941",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17948",10,12,12,13,13,13,14,14,14
"17954",NA,NA,6,6,6,6,6,6,6
"17957",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17959",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17960",8,8,8,8,8,8,8,8,8
"17961",8,9,8,8,9,9,9,10,10
"17963",13,13,13,13,13,13,13,14,14
"17964",0,0,0,0,0,0,NA,NA,NA
"17965",NA,NA,NA,NA,NA,NA,NA,5,6
"17967",11,12,12,12,12,12,12,12,12
"17968",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17970",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17972",18,18,19,19,19,20,21,21,21
"17974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17976",31,32,34,35,35,35,35,35,35
"17978",0,0,0,0,0,0,0,0,0
"17980",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17981",5,5,5,5,5,5,5,5,5
